time,cmd_revolute_1_deg,pos_revolute_1_deg,vel_revolute_1_degps,torque_revolute_1_Nm,cmd_revolute_2_deg,pos_revolute_2_deg,vel_revolute_2_degps,torque_revolute_2_Nm,cmd_revolute_3_deg,pos_revolute_3_deg,vel_revolute_3_degps,torque_revolute_3_Nm,cmd_revolute_4_deg,pos_revolute_4_deg,vel_revolute_4_degps,torque_revolute_4_Nm,cmd_revolute_5_deg,pos_revolute_5_deg,vel_revolute_5_degps,torque_revolute_5_Nm,cmd_revolute_6_deg,pos_revolute_6_deg,vel_revolute_6_degps,torque_revolute_6_Nm
0.9576,-0.022,-0.022,0.603,-0.033,-0.154,-0.154,-1.757,-0.026,0.264,0.264,0.525,-0.04,-0.022,-0.022,-3.698,-0.011,0.022,0.022,0.656,0.033,0.066,0.066,1.862,0.015
0.9677,-0.022,-0.022,0.603,-0.033,-0.154,-0.154,-1.757,-0.026,0.264,0.264,0.525,-0.04,-0.022,-0.022,-3.698,-0.011,0.022,0.022,0.367,-0.018,0.066,0.066,0.105,0.048
0.9779,-0.022,-0.022,0.603,-0.033,-0.154,-0.154,-1.757,-0.026,0.264,0.264,0.525,-0.04,-0.022,-0.022,-3.698,-0.011,0.022,0.022,0.367,-0.018,0.066,0.066,0.105,0.048
0.988,0.0,0.0,1.888,0.033,-0.154,-0.154,0.393,0.033,0.264,0.264,-0.262,0.0,-0.022,-0.022,-2.308,-0.007,0.022,0.022,1.443,-0.026,0.066,0.066,-2.806,-0.022
0.9981,-0.022,-0.022,-2.387,-0.004,-0.154,-0.154,0.393,0.033,0.264,0.264,5.77,-0.018,0.0,0.0,5.429,0.029,0.0,0.0,-2.229,0.022,0.066,0.066,1.128,0.0
1.0082,-0.022,-0.022,-2.387,-0.004,-0.154,-0.154,1.364,0.018,0.264,0.264,-0.446,0.062,-0.022,-0.022,-1.784,0.022,0.022,0.022,-0.026,0.018,0.066,0.066,1.731,-0.026
1.0183,-0.022,-0.022,-2.387,-0.004,-0.154,-0.154,1.364,0.018,0.264,0.264,-0.446,0.062,-0.022,-0.022,-1.784,0.022,0.022,0.022,-0.026,0.018,0.066,0.066,1.731,-0.026
1.0284,-0.022,-0.022,-1.443,0.0,-0.154,-0.154,-0.105,0.011,0.264,0.264,-0.446,0.062,-0.022,-0.022,-1.784,0.022,0.022,0.022,-0.026,0.018,0.066,0.066,1.731,-0.026
1.0385,-0.022,-0.022,-1.443,0.0,-0.154,-0.154,-0.105,0.011,0.264,0.264,-3.252,0.0,0.0,0.0,1.023,-0.029,0.022,0.022,-0.026,0.018,0.066,0.066,1.731,-0.026
1.0486,-0.022,-0.022,-1.443,0.0,-0.154,-0.154,-0.105,0.011,0.264,0.264,-3.252,0.0,0.0,0.0,1.023,-0.029,0.022,0.022,-0.026,0.018,0.066,0.066,1.731,-0.026
1.0587,-0.022,-0.022,-1.443,0.0,-0.154,-0.154,-0.105,0.011,0.264,0.264,-3.252,0.0,0.0,0.0,1.023,-0.029,0.022,0.022,-0.026,0.018,0.066,0.066,1.731,-0.026
1.0688,-0.022,-0.022,-1.443,0.0,-0.154,-0.154,-0.105,0.011,0.264,0.264,-3.252,0.0,0.0,0.0,1.023,-0.029,0.022,0.022,2.387,-0.018,0.066,0.066,0.97,-0.018
1.079,-0.022,-0.022,1.102,0.018,-0.154,-0.154,2.361,-0.004,0.264,0.264,-3.252,0.0,0.0,0.0,1.023,-0.029,0.022,0.022,2.387,-0.018,0.066,0.066,0.97,-0.018
1.0891,-0.022,-0.022,1.102,0.018,-0.154,-0.154,2.361,-0.004,0.264,0.264,-0.629,-0.018,-0.022,-0.022,0.997,-0.04,0.022,0.022,-0.131,0.0,0.066,0.066,-3.331,-0.018
1.0992,-0.022,-0.022,1.102,0.018,-0.154,-0.154,2.361,-0.004,0.264,0.264,-0.629,-0.018,-0.022,-0.022,0.997,-0.04,0.022,0.022,-0.131,0.0,0.066,0.066,-3.331,-0.018
1.1093,-0.022,-0.022,1.102,0.018,-0.154,-0.154,2.361,-0.004,0.264,0.264,-0.629,-0.018,-0.022,-0.022,0.997,-0.04,0.022,0.022,-0.131,0.0,0.066,0.066,-3.331,-0.018
1.1194,-0.022,-0.022,2.492,0.007,-0.154,-0.154,-0.026,0.015,0.264,0.264,0.708,0.007,0.0,0.0,-0.892,0.007,0.022,0.022,-0.131,0.0,0.066,0.066,-3.331,-0.018
1.1295,-0.022,-0.022,0.289,-0.022,-0.154,-0.154,-0.026,0.015,0.264,0.264,0.708,0.007,0.0,0.0,-0.892,0.007,0.022,0.022,-0.813,0.015,0.066,0.066,-0.839,-0.029
1.1396,-0.022,-0.022,0.289,-0.022,-0.154,-0.154,-0.026,0.015,0.264,0.264,0.708,0.007,0.0,0.0,-0.892,0.007,0.022,0.022,-0.813,0.015,0.066,0.066,-0.839,-0.029
1.1497,-0.022,-0.022,0.289,-0.022,-0.154,-0.154,-1.652,-0.026,0.264,0.264,0.997,-0.037,0.0,0.0,-0.892,0.007,0.022,0.022,-0.813,0.015,0.066,0.066,-0.839,-0.029
1.17,-0.022,-0.022,-1.836,0.0,-0.154,-0.154,-1.233,-0.007,0.264,0.264,-0.393,-0.018,-0.022,-0.022,0.997,-0.051,0.022,0.022,4.17,0.007,0.066,0.066,0.157,0.022
1.1801,-0.022,-0.022,-1.836,0.0,-0.154,-0.154,-1.233,-0.007,0.264,0.264,-0.393,-0.018,-0.022,-0.022,0.997,-0.051,0.022,0.022,4.17,0.007,0.066,0.066,0.157,0.022
1.1902,-0.022,-0.022,-1.836,0.0,-0.154,-0.154,-1.233,-0.007,0.264,0.264,-0.393,-0.018,-0.022,-0.022,0.997,-0.051,0.022,0.022,1.023,-0.004,0.066,0.066,1.757,0.029
1.2004,-0.022,-0.022,-1.836,0.0,-0.154,-0.154,-1.233,-0.007,0.264,0.264,-0.393,-0.018,-0.022,-0.022,0.997,-0.051,0.022,0.022,1.023,-0.004,0.066,0.066,1.757,0.029
1.2105,-0.022,-0.022,-2.806,0.0,-0.154,-0.154,-0.629,-0.007,0.264,0.264,0.839,-0.007,-0.022,-0.022,2.518,0.026,0.022,0.022,-1.784,-0.007,0.066,0.066,2.256,0.037
